student27_18.c, E-RP-07, neoptimálne využívanie premenných, 1
student27_19.c, E-RP-05, dlho aktívna premenná, 7
student27_19.c, E-RP-07, neoptimálne využívanie premenných, 1
student27_2.c, E-SmA-02, viacnásobná deklarácia premennej, 1
student27_2.c, E-RP-05, dlho aktívna premenná, 4
student27_20.c, E-RP-05, dlho aktívna premenná, 7
student27_20.c, E-RP-07, neoptimálne využívanie premenných, 1
student27_21.c, E-RP-05, dlho aktívna premenná, 7
student27_21.c, E-RP-07, neoptimálne využívanie premenných, 1
student27_22.c, E-RP-05, dlho aktívna premenná, 7
student27_22.c, E-RP-07, neoptimálne využívanie premenných, 1
student27_3.c, E-RP-05, dlho aktívna premenná, 4
student27_3.c, E-RP-07, neoptimálne využívanie premenných, 1
student27_4.c, E-RP-05, dlho aktívna premenná, 4
student27_4.c, E-RP-07, neoptimálne využívanie premenných, 1
student27_5.c, E-RP-05, dlho aktívna premenná, 4
student27_5.c, E-RP-07, neoptimálne využívanie premenných, 1
student27_6.c, E-RP-05, dlho aktívna premenná, 4
student27_6.c, E-RP-07, neoptimálne využívanie premenných, 1
student27_7.c, E-RP-05, dlho aktívna premenná, 4
student27_7.c, E-RP-07, neoptimálne využívanie premenných, 1
student27_8.c, E-RP-05, dlho aktívna premenná, 4
student27_8.c, E-RP-07, neoptimálne využívanie premenných, 1
student27_9.c, E-RP-05, dlho aktívna premenná, 4
student27_9.c, E-RP-07, neoptimálne využívanie premenných, 1
student28_1.c, E-RP-05, dlho aktívna premenná, 5
student28_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student28_2.c, E-RP-05, dlho aktívna premenná, 5
student28_2.c, E-RP-07, neoptimálne využívanie premenných, 1
student28_3.c, E-RP-05, dlho aktívna premenná, 5
student28_3.c, E-RP-07, neoptimálne využívanie premenných, 1
student28_4.c, E-RP-05, dlho aktívna premenná, 4
student28_4.c, E-RP-07, neoptimálne využívanie premenných, 1
student28_5.c, E-RP-05, dlho aktívna premenná, 4
student28_5.c, E-RP-07, neoptimálne využívanie premenných, 1
student29_1.c, E-RP-09, neoptimálne využívanie argumentov mainu, 1
student29_1.c, E-RP-05, dlho aktívna premenná, 6
student2_1.c, E-RP-05, dlho aktívna premenná, 3
student2_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student2_2.c, E-LA-01, neidentifikovateľný reťazec, 106
student30_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student30_10.c, E-RP-05, dlho aktívna premenná, 2
student30_10.c, E-RP-07, neoptimálne využívanie premenných, 1
student30_11.c, E-RP-05, dlho aktívna premenná, 2
student30_11.c, E-RP-07, neoptimálne využívanie premenných, 1
student30_12.c, E-RP-05, dlho aktívna premenná, 2
student30_12.c, E-RP-07, neoptimálne využívanie premenných, 1
student30_13.c, E-RP-05, dlho aktívna premenná, 2
student30_13.c, E-RP-07, neoptimálne využívanie premenných, 1
student30_2.c, E-RP-07, neoptimálne využívanie premenných, 1
student30_3.c, E-RP-07, neoptimálne využívanie premenných, 1
student30_4.c, E-RP-07, neoptimálne využívanie premenných, 1
student30_5.c, E-RP-07, neoptimálne využívanie premenných, 1
student30_6.c, E-RP-05, dlho aktívna premenná, 2
student30_6.c, E-RP-07, neoptimálne využívanie premenných, 1
student30_7.c, E-RP-05, dlho aktívna premenná, 2
student30_7.c, E-RP-07, neoptimálne využívanie premenných, 1
student30_8.c, E-RP-05, dlho aktívna premenná, 2
student30_8.c, E-RP-07, neoptimálne využívanie premenných, 1
student30_9.c, E-RP-05, dlho aktívna premenná, 2
student30_9.c, E-RP-07, neoptimálne využívanie premenných, 1
student31_1.c, E-RP-05, dlho aktívna premenná, 1
student31_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student31_10.c, E-RP-05, dlho aktívna premenná, 1
student31_10.c, E-RP-07, neoptimálne využívanie premenných, 1
student31_11.c, E-RP-05, dlho aktívna premenná, 1
student31_11.c, E-RP-07, neoptimálne využívanie premenných, 1
student31_12.c, E-RP-05, dlho aktívna premenná, 1
student31_12.c, E-RP-07, neoptimálne využívanie premenných, 1
student31_16.c, E-RP-05, dlho aktívna premenná, 1
student31_16.c, E-RP-07, neoptimálne využívanie premenných, 1
student31_17.c, E-RP-05, dlho aktívna premenná, 1
student31_17.c, E-RP-07, neoptimálne využívanie premenných, 1
student31_18.c, E-RP-05, dlho aktívna premenná, 1
student31_18.c, E-RP-07, neoptimálne využívanie premenných, 1
student31_19.c, E-RP-05, dlho aktívna premenná, 1
student31_19.c, E-RP-07, neoptimálne využívanie premenných, 1
student31_2.c, E-SxA-07, nesprávna syntax, 1
student31_2.c, E-ST-01, neinicializovaná premenná, 1
student31_2.c, E-SxA-03, chýbajúca bodkočiarka, 1
student31_2.c, E-RP-05, dlho aktívna premenná, 1
student31_20.c, E-RP-05, dlho aktívna premenná, 1
student31_20.c, E-RP-07, neoptimálne využívanie premenných, 1
student31_21.c, E-RP-05, dlho aktívna premenná, 1
student31_21.c, E-RP-07, neoptimálne využívanie premenných, 1
student31_3.c, E-ST-01, neinicializovaná premenná, 1
student31_3.c, E-RP-05, dlho aktívna premenná, 2
student31_4.c, E-RP-05, dlho aktívna premenná, 1
student31_4.c, E-RP-07, neoptimálne využívanie premenných, 1
student31_5.c, E-RP-05, dlho aktívna premenná, 1
student31_5.c, E-RP-07, neoptimálne využívanie premenných, 1
student31_6.c, E-RP-05, dlho aktívna premenná, 2
student31_6.c, E-RP-07, neoptimálne využívanie premenných, 1
student31_7.c, E-RP-05, dlho aktívna premenná, 2
student31_7.c, E-RP-07, neoptimálne využívanie premenných, 1
student31_8.c, E-RP-05, dlho aktívna premenná, 2
student31_8.c, E-RP-07, neoptimálne využívanie premenných, 1
student31_9.c, E-RP-05, dlho aktívna premenná, 2
student31_9.c, E-RP-07, neoptimálne využívanie premenných, 1
student32_1.c, E-RP-05, dlho aktívna premenná, 7
student32_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student32_2.c, E-RP-05, dlho aktívna premenná, 7
student32_2.c, E-RP-07, neoptimálne využívanie premenných, 1
student32_3.c, E-RP-05, dlho aktívna premenná, 7
