student16_13.c, E-RP-05, dlho aktívna premenná, 27
student16_13.c, E-RP-05, dlho aktívna premenná, 140
student16_13.c, E-RP-05, dlho aktívna premenná, 29
student16_13.c, E-RP-05, dlho aktívna premenná, 30
student16_14.c, E-RP-07, neoptimálne využívanie premenných, 0
student16_14.c, E-RP-05, dlho aktívna premenná, 119
student16_14.c, E-RP-05, dlho aktívna premenná, 24
student16_14.c, E-RP-05, dlho aktívna premenná, 120
student16_14.c, E-RP-05, dlho aktívna premenná, 121
student16_14.c, E-RP-05, dlho aktívna premenná, 26
student16_14.c, E-RP-05, dlho aktívna premenná, 27
student16_14.c, E-RP-05, dlho aktívna premenná, 155
student16_14.c, E-RP-05, dlho aktívna premenná, 29
student16_15.c, E-RP-07, neoptimálne využívanie premenných, 0
student16_15.c, E-RP-05, dlho aktívna premenná, 114
student16_15.c, E-RP-05, dlho aktívna premenná, 115
student16_15.c, E-RP-05, dlho aktívna premenná, 116
student16_15.c, E-RP-05, dlho aktívna premenná, 117
student16_15.c, E-RP-05, dlho aktívna premenná, 24
student16_15.c, E-RP-05, dlho aktívna premenná, 26
student16_15.c, E-RP-05, dlho aktívna premenná, 27
student16_15.c, E-RP-05, dlho aktívna premenná, 29
student16_2.c, E-RP-05, dlho aktívna premenná, 32
student16_2.c, E-RP-07, neoptimálne využívanie premenných, 0
student16_2.c, E-RP-05, dlho aktívna premenná, 99
student16_2.c, E-RP-05, dlho aktívna premenná, 100
student16_2.c, E-RP-05, dlho aktívna premenná, 101
student16_2.c, W-01, využívanie globálnej premennej, 10
student16_2.c, W-01, využívanie globálnej premennej, 11
student16_2.c, W-01, využívanie globálnej premennej, 12
student16_2.c, W-01, využívanie globálnej premennej, 13
student16_2.c, W-01, využívanie globálnej premennej, 14
student16_2.c, W-01, využívanie globálnej premennej, 15
student16_3.c, E-RP-07, neoptimálne využívanie premenných, 0
student16_3.c, E-RP-05, dlho aktívna premenná, 17
student16_3.c, E-RP-05, dlho aktívna premenná, 81
student16_3.c, E-RP-05, dlho aktívna premenná, 82
student16_3.c, E-RP-05, dlho aktívna premenná, 83
student16_3.c, W-01, využívanie globálnej premennej, 8
student16_3.c, W-01, využívanie globálnej premennej, 9
student16_3.c, W-01, využívanie globálnej premennej, 10
student16_3.c, W-01, využívanie globálnej premennej, 11
student16_3.c, W-01, využívanie globálnej premennej, 12
student16_3.c, W-01, využívanie globálnej premennej, 13
student16_4.c, E-RP-07, neoptimálne využívanie premenných, 0
student16_4.c, W-01, využívanie globálnej premennej, 8
student16_4.c, W-01, využívanie globálnej premennej, 9
student16_4.c, W-01, využívanie globálnej premennej, 10
student16_4.c, W-01, využívanie globálnej premennej, 11
